Train_ID,Station_Code,Train_Priority,Weather_Condition,Time_of_Day,Day_of_Week,Network_Congestion,Active_Incident,Scheduled_Arrival_Mins,Actual_Arrival_Mins,Delay_Minutes
27264,AGC,MAIL_EXPRESS,CLEAR,EVENING,THURSDAY,CRITICAL,TRACK_MAINTENANCE,1301,1400,99
18468,GWL,SUPERFAST,CLEAR,AFTERNOON,SATURDAY,LOW,NO,48,55,7
22437,MTJ,FREIGHT,MONSOON_STORM,MORNING,WEDNESDAY,HIGH,NO,1050,1137,87
16424,NDLS,FREIGHT,MONSOON_STORM,EVENING,FRIDAY,CRITICAL,NO,940,1084,144
11040,GWL,FREIGHT,MONSOON_STORM,AFTERNOON,SATURDAY,CRITICAL,SIGNAL_FAILURE,722,876,154
10616,BPL,MAIL_EXPRESS,CLEAR,AFTERNOON,THURSDAY,LOW,NO,265,274,9
12512,AGC,FREIGHT,CLEAR,MORNING,SATURDAY,MEDIUM,NO,881,903,22
15741,BPL,MAIL_EXPRESS,MONSOON_STORM,EVENING,FRIDAY,CRITICAL,NO,755,847,92
14085,BPL,SUPERFAST,RAIN,AFTERNOON,THURSDAY,MEDIUM,NO,209,229,20
13603,MMCT,RAJDHANI,FOG,AFTERNOON,MONDAY,HIGH,NO,884,931,47
15819,MAS,MAIL_EXPRESS,RAIN,NIGHT,THURSDAY,MEDIUM,NO,106,128,22
24384,HWH,FREIGHT,RAIN,NIGHT,WEDNESDAY,MEDIUM,NO,773,816,43
28422,BPL,SUPERFAST,FOG,AFTERNOON,SUNDAY,HIGH,TRACK_MAINTENANCE,727,785,58
27853,NDLS,FREIGHT,CLEAR,NIGHT,FRIDAY,HIGH,SIGNAL_FAILURE,932,1003,71
13615,JHS,FREIGHT,MONSOON_STORM,EVENING,WEDNESDAY,CRITICAL,NO,276,398,122
26186,BPL,FREIGHT,MONSOON_STORM,MORNING,FRIDAY,CRITICAL,CATTLE_ON_TRACK,763,875,112
23800,AGC,RAJDHANI,RAIN,EVENING,THURSDAY,MEDIUM,NO,250,288,38
16728,GWL,FREIGHT,RAIN,MORNING,SUNDAY,MEDIUM,NO,883,916,33
20274,MMCT,RAJDHANI,CLEAR,EVENING,SATURDAY,MEDIUM,SIGNAL_FAILURE,433,474,41
20971,HWH,MAIL_EXPRESS,RAIN,AFTERNOON,FRIDAY,MEDIUM,NO,339,367,28
29017,JHS,MAIL_EXPRESS,CLEAR,EVENING,WEDNESDAY,MEDIUM,NO,1319,1338,19
20308,AGC,MAIL_EXPRESS,CLEAR,EVENING,THURSDAY,MEDIUM,NO,253,282,29
15985,MMCT,FREIGHT,RAIN,AFTERNOON,FRIDAY,CRITICAL,TRACK_MAINTENANCE,812,909,97
25809,BPL,SUPERFAST,CLEAR,NIGHT,WEDNESDAY,LOW,NO,1144,1147,3
14889,HWH,SUPERFAST,FOG,AFTERNOON,SATURDAY,MEDIUM,NO,1057,1088,31
13216,NDLS,FREIGHT,RAIN,NIGHT,TUESDAY,HIGH,NO,665,718,53
27587,AGC,FREIGHT,MONSOON_STORM,AFTERNOON,FRIDAY,CRITICAL,CATTLE_ON_TRACK,28,144,116
11012,MMCT,FREIGHT,MONSOON_STORM,MORNING,WEDNESDAY,HIGH,NO,1043,1112,69
17644,MAS,FREIGHT,FOG,NIGHT,FRIDAY,MEDIUM,NO,175,219,44
18900,MAS,SUPERFAST,RAIN,EVENING,FRIDAY,MEDIUM,NO,506,542,36
21610,HWH,FREIGHT,MONSOON_STORM,EVENING,SATURDAY,CRITICAL,NO,557,658,101
23667,JHS,RAJDHANI,RAIN,NIGHT,SUNDAY,MEDIUM,NO,1007,1027,20
20032,MAS,RAJDHANI,RAIN,AFTERNOON,TUESDAY,LOW,NO,1121,1133,12
24768,MTJ,MAIL_EXPRESS,RAIN,MORNING,MONDAY,MEDIUM,NO,884,921,37
25651,AGC,SUPERFAST,RAIN,NIGHT,MONDAY,LOW,NO,511,525,14
21957,MMCT,MAIL_EXPRESS,CLEAR,EVENING,THURSDAY,MEDIUM,NO,343,372,29
29896,GWL,MAIL_EXPRESS,RAIN,NIGHT,WEDNESDAY,MEDIUM,NO,828,871,43
11027,NDLS,RAJDHANI,MONSOON_STORM,MORNING,SUNDAY,CRITICAL,TRACK_MAINTENANCE,1125,1265,140
13974,MTJ,FREIGHT,RAIN,EVENING,MONDAY,HIGH,NO,1381,1446,65
24799,NDLS,RAJDHANI,MONSOON_STORM,NIGHT,THURSDAY,HIGH,NO,354,414,60
21861,JHS,FREIGHT,CLEAR,NIGHT,SUNDAY,LOW,NO,541,555,14
24245,BPL,SUPERFAST,MONSOON_STORM,AFTERNOON,MONDAY,HIGH,NO,491,537,46
22934,NDLS,MAIL_EXPRESS,FOG,MORNING,THURSDAY,HIGH,NO,369,430,61
21263,JHS,MAIL_EXPRESS,CLEAR,MORNING,FRIDAY,MEDIUM,NO,1195,1219,24
26402,JHS,SUPERFAST,CLEAR,MORNING,FRIDAY,MEDIUM,SIGNAL_FAILURE,227,264,37
17848,MTJ,RAJDHANI,RAIN,NIGHT,WEDNESDAY,MEDIUM,NO,1199,1218,19
22057,JHS,SUPERFAST,FOG,MORNING,TUESDAY,MEDIUM,NO,1147,1188,41
29402,BPL,RAJDHANI,FOG,AFTERNOON,WEDNESDAY,MEDIUM,NO,1243,1274,31
18725,AGC,MAIL_EXPRESS,FOG,EVENING,SATURDAY,MEDIUM,NO,481,525,44
28178,MTJ,RAJDHANI,MONSOON_STORM,NIGHT,MONDAY,HIGH,NO,311,375,64
23674,GWL,MAIL_EXPRESS,FOG,EVENING,SUNDAY,HIGH,NO,646,728,82
27748,MTJ,FREIGHT,MONSOON_STORM,EVENING,FRIDAY,CRITICAL,NO,1172,1311,139
13326,JHS,SUPERFAST,RAIN,AFTERNOON,FRIDAY,MEDIUM,NO,1276,1297,21
23916,MAS,MAIL_EXPRESS,RAIN,NIGHT,SUNDAY,MEDIUM,NO,1173,1192,19
28038,MTJ,RAJDHANI,FOG,AFTERNOON,THURSDAY,HIGH,TRACK_MAINTENANCE,919,965,46
23402,AGC,SUPERFAST,MONSOON_STORM,AFTERNOON,WEDNESDAY,HIGH,SIGNAL_FAILURE,565,638,73
22064,AGC,FREIGHT,MONSOON_STORM,MORNING,SUNDAY,CRITICAL,NO,487,592,105
14932,JHS,RAJDHANI,FOG,EVENING,FRIDAY,HIGH,NO,1249,1299,50
14594,MMCT,RAJDHANI,CLEAR,MORNING,MONDAY,LOW,NO,1016,1019,3
14205,GWL,MAIL_EXPRESS,RAIN,EVENING,TUESDAY,HIGH,NO,607,652,45
12383,GWL,SUPERFAST,FOG,MORNING,MONDAY,CRITICAL,TRACK_MAINTENANCE,1283,1373,90
20809,GWL,MAIL_EXPRESS,FOG,EVENING,WEDNESDAY,HIGH,NO,896,970,74
11095,AGC,RAJDHANI,RAIN,MORNING,FRIDAY,LOW,NO,1109,1118,9
18300,MAS,RAJDHANI,FOG,NIGHT,SUNDAY,HIGH,SIGNAL_FAILURE,1341,1420,79
20829,MMCT,FREIGHT,CLEAR,AFTERNOON,SUNDAY,MEDIUM,NO,402,437,35
22940,AGC,MAIL_EXPRESS,CLEAR,MORNING,WEDNESDAY,MEDIUM,NO,6,33,27
28295,NDLS,FREIGHT,CLEAR,EVENING,THURSDAY,HIGH,NO,894,942,48
19446,HWH,RAJDHANI,FOG,NIGHT,SUNDAY,HIGH,NO,1155,1200,45
12972,HWH,RAJDHANI,FOG,NIGHT,SUNDAY,HIGH,TRACK_MAINTENANCE,270,352,82
27855,MAS,MAIL_EXPRESS,RAIN,MORNING,SATURDAY,MEDIUM,NO,1222,1248,26
13057,NDLS,FREIGHT,MONSOON_STORM,AFTERNOON,FRIDAY,HIGH,NO,311,390,79
16403,HWH,FREIGHT,RAIN,NIGHT,MONDAY,MEDIUM,NO,915,957,42
23192,MTJ,RAJDHANI,CLEAR,MORNING,TUESDAY,MEDIUM,SIGNAL_FAILURE,1077,1118,41
22141,BPL,RAJDHANI,FOG,EVENING,SUNDAY,HIGH,NO,152,200,48
22868,HWH,SUPERFAST,RAIN,EVENING,SATURDAY,MEDIUM,NO,733,764,31
28174,HWH,RAJDHANI,MONSOON_STORM,NIGHT,WEDNESDAY,HIGH,NO,38,84,46
17932,BPL,MAIL_EXPRESS,FOG,MORNING,WEDNESDAY,HIGH,NO,579,629,50
29187,JHS,MAIL_EXPRESS,FOG,AFTERNOON,THURSDAY,MEDIUM,NO,876,915,39
11777,GWL,MAIL_EXPRESS,RAIN,MORNING,WEDNESDAY,MEDIUM,NO,167,189,22
11314,GWL,FREIGHT,CLEAR,NIGHT,SATURDAY,MEDIUM,NO,617,660,43
14038,MMCT,RAJDHANI,CLEAR,EVENING,THURSDAY,MEDIUM,NO,879,897,18
18208,NDLS,SUPERFAST,RAIN,MORNING,SATURDAY,MEDIUM,NO,802,817,15
10874,BPL,FREIGHT,FOG,NIGHT,THURSDAY,HIGH,NO,910,957,47
20372,AGC,MAIL_EXPRESS,RAIN,NIGHT,THURSDAY,MEDIUM,NO,1387,1408,21
24879,BPL,SUPERFAST,MONSOON_STORM,NIGHT,TUESDAY,HIGH,NO,1366,1412,46
27290,MMCT,FREIGHT,MONSOON_STORM,MORNING,SATURDAY,HIGH,NO,944,1014,70
17484,MTJ,FREIGHT,RAIN,NIGHT,TUESDAY,MEDIUM,NO,70,111,41
16391,NDLS,MAIL_EXPRESS,CLEAR,EVENING,TUESDAY,HIGH,TRACK_MAINTENANCE,684,761,77
23424,JHS,FREIGHT,FOG,AFTERNOON,MONDAY,HIGH,NO,169,254,85
29695,AGC,SUPERFAST,MONSOON_STORM,MORNING,FRIDAY,HIGH,NO,96,174,78
29102,MTJ,FREIGHT,CLEAR,EVENING,SUNDAY,MEDIUM,NO,717,750,33
27689,NDLS,FREIGHT,CLEAR,EVENING,THURSDAY,HIGH,NO,793,839,46
15419,GWL,MAIL_EXPRESS,RAIN,NIGHT,MONDAY,HIGH,CATTLE_ON_TRACK,836,905,69
23083,AGC,MAIL_EXPRESS,MONSOON_STORM,NIGHT,TUESDAY,HIGH,NO,1367,1423,56
21254,HWH,MAIL_EXPRESS,CLEAR,EVENING,SATURDAY,HIGH,NO,1134,1187,53
25860,BPL,SUPERFAST,CLEAR,MORNING,TUESDAY,LOW,NO,1361,1369,8
27961,NDLS,MAIL_EXPRESS,FOG,NIGHT,WEDNESDAY,HIGH,NO,688,739,51
28656,GWL,SUPERFAST,FOG,NIGHT,WEDNESDAY,HIGH,TRACK_MAINTENANCE,1366,1433,67
28555,MTJ,RAJDHANI,RAIN,MORNING,THURSDAY,HIGH,TRACK_MAINTENANCE,218,283,65
16451,BPL,SUPERFAST,RAIN,EVENING,SATURDAY,MEDIUM,NO,362,394,32
18075,MTJ,SUPERFAST,MONSOON_STORM,EVENING,WEDNESDAY,CRITICAL,NO,1155,1269,114
11172,AGC,RAJDHANI,FOG,AFTERNOON,THURSDAY,MEDIUM,NO,1067,1090,23
22206,JHS,MAIL_EXPRESS,MONSOON_STORM,NIGHT,MONDAY,HIGH,NO,436,515,79
15229,BPL,RAJDHANI,MONSOON_STORM,EVENING,WEDNESDAY,HIGH,NO,933,1011,78
21305,NDLS,MAIL_EXPRESS,FOG,AFTERNOON,SUNDAY,HIGH,CATTLE_ON_TRACK,910,999,89
20303,AGC,RAJDHANI,MONSOON_STORM,MORNING,THURSDAY,HIGH,NO,558,645,87
10832,MTJ,FREIGHT,MONSOON_STORM,EVENING,TUESDAY,HIGH,NO,1061,1143,82
14864,GWL,FREIGHT,RAIN,AFTERNOON,THURSDAY,HIGH,SIGNAL_FAILURE,833,913,80
17239,HWH,RAJDHANI,CLEAR,EVENING,THURSDAY,MEDIUM,NO,50,69,19
21204,JHS,SUPERFAST,FOG,MORNING,SUNDAY,MEDIUM,NO,766,802,36
14775,AGC,SUPERFAST,MONSOON_STORM,EVENING,TUESDAY,HIGH,NO,194,279,85
11373,AGC,MAIL_EXPRESS,CLEAR,EVENING,THURSDAY,MEDIUM,NO,645,680,35
14281,MMCT,MAIL_EXPRESS,CLEAR,NIGHT,WEDNESDAY,MEDIUM,NO,1083,1111,28
22785,MMCT,SUPERFAST,MONSOON_STORM,MORNING,MONDAY,CRITICAL,NO,1144,1239,95
20765,JHS,FREIGHT,FOG,MORNING,SATURDAY,HIGH,NO,1043,1103,60
21643,HWH,SUPERFAST,RAIN,AFTERNOON,MONDAY,MEDIUM,NO,1099,1132,33
27453,MAS,MAIL_EXPRESS,CLEAR,MORNING,THURSDAY,MEDIUM,NO,162,181,19
25037,MAS,FREIGHT,FOG,AFTERNOON,SUNDAY,HIGH,NO,893,953,60
13620,MAS,SUPERFAST,FOG,EVENING,THURSDAY,MEDIUM,NO,800,844,44
28561,JHS,FREIGHT,CLEAR,MORNING,THURSDAY,MEDIUM,TRACK_MAINTENANCE,996,1038,42
17223,NDLS,SUPERFAST,FOG,NIGHT,SUNDAY,MEDIUM,NO,446,478,32
19801,GWL,RAJDHANI,RAIN,MORNING,TUESDAY,LOW,NO,632,644,12
21211,MAS,RAJDHANI,RAIN,EVENING,WEDNESDAY,MEDIUM,NO,624,657,33
18000,NDLS,SUPERFAST,FOG,AFTERNOON,TUESDAY,MEDIUM,NO,1248,1289,41
27985,MMCT,SUPERFAST,RAIN,AFTERNOON,SUNDAY,MEDIUM,NO,513,545,32
20937,AGC,SUPERFAST,CLEAR,AFTERNOON,MONDAY,LOW,NO,1143,1147,4
11800,AGC,SUPERFAST,FOG,MORNING,TUESDAY,HIGH,TRACK_MAINTENANCE,365,426,61
14384,MTJ,RAJDHANI,MONSOON_STORM,EVENING,SATURDAY,CRITICAL,NO,90,192,102
11732,JHS,SUPERFAST,CLEAR,NIGHT,MONDAY,LOW,NO,446,449,3
20193,GWL,FREIGHT,RAIN,NIGHT,FRIDAY,HIGH,SIGNAL_FAILURE,557,620,63
13927,JHS,MAIL_EXPRESS,CLEAR,MORNING,THURSDAY,MEDIUM,CATTLE_ON_TRACK,467,511,44
27702,MAS,FREIGHT,FOG,AFTERNOON,SATURDAY,HIGH,NO,640,689,49
14238,AGC,FREIGHT,FOG,NIGHT,FRIDAY,HIGH,NO,786,865,79
14358,MAS,MAIL_EXPRESS,CLEAR,NIGHT,SATURDAY,HIGH,CATTLE_ON_TRACK,292,358,66
28354,MMCT,MAIL_EXPRESS,CLEAR,NIGHT,SATURDAY,LOW,NO,107,115,8
28409,MAS,RAJDHANI,RAIN,NIGHT,SATURDAY,MEDIUM,NO,1208,1229,21
24589,BPL,RAJDHANI,RAIN,MORNING,SATURDAY,LOW,NO,1390,1398,8
24716,AGC,RAJDHANI,MONSOON_STORM,NIGHT,SUNDAY,MEDIUM,NO,387,426,39
25254,MMCT,FREIGHT,FOG,NIGHT,SATURDAY,CRITICAL,NO,849,943,94
27050,MAS,FREIGHT,CLEAR,EVENING,MONDAY,HIGH,NO,938,997,59
11321,NDLS,FREIGHT,MONSOON_STORM,EVENING,TUESDAY,CRITICAL,NO,649,764,115
10453,AGC,FREIGHT,CLEAR,NIGHT,WEDNESDAY,MEDIUM,NO,1352,1375,23
27493,NDLS,SUPERFAST,MONSOON_STORM,AFTERNOON,THURSDAY,HIGH,NO,231,278,47
19998,MTJ,MAIL_EXPRESS,MONSOON_STORM,AFTERNOON,MONDAY,CRITICAL,NO,191,286,95
22124,NDLS,SUPERFAST,FOG,EVENING,FRIDAY,HIGH,NO,255,304,49
15244,BPL,FREIGHT,CLEAR,AFTERNOON,SUNDAY,MEDIUM,NO,779,815,36
18941,HWH,RAJDHANI,CLEAR,NIGHT,TUESDAY,HIGH,TRACK_MAINTENANCE,818,867,49
11487,HWH,RAJDHANI,CLEAR,AFTERNOON,WEDNESDAY,LOW,NO,382,383,1
14096,JHS,MAIL_EXPRESS,CLEAR,MORNING,SUNDAY,LOW,NO,1176,1186,10
17768,MTJ,RAJDHANI,FOG,AFTERNOON,SUNDAY,MEDIUM,NO,1109,1150,41
15715,JHS,FREIGHT,RAIN,NIGHT,TUESDAY,HIGH,NO,1150,1212,62
17232,JHS,RAJDHANI,FOG,AFTERNOON,SATURDAY,MEDIUM,NO,275,296,21
15744,JHS,SUPERFAST,RAIN,NIGHT,SATURDAY,MEDIUM,NO,66,87,21
10548,NDLS,MAIL_EXPRESS,CLEAR,AFTERNOON,THURSDAY,MEDIUM,NO,628,657,29
26756,BPL,SUPERFAST,MONSOON_STORM,NIGHT,TUESDAY,CRITICAL,NO,668,762,94
26538,MTJ,FREIGHT,FOG,MORNING,SATURDAY,HIGH,NO,891,967,76
20855,MMCT,MAIL_EXPRESS,MONSOON_STORM,AFTERNOON,FRIDAY,CRITICAL,NO,1133,1225,92
10554,BPL,RAJDHANI,MONSOON_STORM,AFTERNOON,THURSDAY,HIGH,NO,1331,1391,60
21267,BPL,SUPERFAST,FOG,NIGHT,WEDNESDAY,MEDIUM,NO,518,560,42
15227,GWL,RAJDHANI,FOG,MORNING,TUESDAY,MEDIUM,NO,549,587,38
17183,BPL,RAJDHANI,RAIN,NIGHT,FRIDAY,LOW,NO,423,432,9
20709,MAS,FREIGHT,FOG,MORNING,SUNDAY,MEDIUM,NO,513,556,43
13332,MTJ,FREIGHT,FOG,EVENING,WEDNESDAY,HIGH,NO,364,433,69
15108,NDLS,MAIL_EXPRESS,MONSOON_STORM,AFTERNOON,SATURDAY,HIGH,NO,583,656,73
13810,MAS,MAIL_EXPRESS,CLEAR,AFTERNOON,TUESDAY,LOW,NO,547,560,13
14455,AGC,RAJDHANI,RAIN,AFTERNOON,MONDAY,LOW,NO,784,790,6
13697,MTJ,RAJDHANI,RAIN,AFTERNOON,SATURDAY,LOW,NO,748,759,11
27332,MAS,FREIGHT,MONSOON_STORM,NIGHT,SATURDAY,CRITICAL,NO,564,660,96
14556,GWL,RAJDHANI,RAIN,AFTERNOON,TUESDAY,LOW,NO,394,407,13
25078,JHS,RAJDHANI,CLEAR,AFTERNOON,FRIDAY,LOW,NO,671,673,2
19213,JHS,RAJDHANI,CLEAR,AFTERNOON,FRIDAY,MEDIUM,SIGNAL_FAILURE,584,609,25
12261,MMCT,RAJDHANI,CLEAR,NIGHT,THURSDAY,LOW,NO,1146,1148,2
17976,MTJ,MAIL_EXPRESS,MONSOON_STORM,MORNING,MONDAY,CRITICAL,NO,1006,1099,93
16394,MMCT,FREIGHT,RAIN,NIGHT,WEDNESDAY,CRITICAL,CATTLE_ON_TRACK,651,760,109
10561,BPL,SUPERFAST,MONSOON_STORM,MORNING,SATURDAY,CRITICAL,TRACK_MAINTENANCE,530,657,127
15660,JHS,SUPERFAST,CLEAR,AFTERNOON,MONDAY,LOW,NO,456,465,9
24664,NDLS,FREIGHT,FOG,NIGHT,THURSDAY,HIGH,NO,921,994,73
27220,HWH,MAIL_EXPRESS,RAIN,MORNING,FRIDAY,MEDIUM,NO,1342,1359,17
10360,BPL,RAJDHANI,MONSOON_STORM,NIGHT,SATURDAY,CRITICAL,CATTLE_ON_TRACK,1057,1160,103
11797,BPL,MAIL_EXPRESS,MONSOON_STORM,AFTERNOON,SATURDAY,CRITICAL,NO,520,617,97
17146,MAS,FREIGHT,FOG,MORNING,SATURDAY,HIGH,NO,627,674,47
21606,JHS,MAIL_EXPRESS,FOG,AFTERNOON,FRIDAY,HIGH,NO,1329,1392,63
18238,NDLS,SUPERFAST,MONSOON_STORM,AFTERNOON,FRIDAY,CRITICAL,TRACK_MAINTENANCE,370,484,114
17803,MTJ,MAIL_EXPRESS,CLEAR,AFTERNOON,MONDAY,MEDIUM,NO,1104,1127,23
15848,GWL,FREIGHT,FOG,AFTERNOON,MONDAY,HIGH,NO,574,653,79
26234,HWH,SUPERFAST,CLEAR,NIGHT,FRIDAY,LOW,NO,1305,1310,5
17901,AGC,FREIGHT,FOG,NIGHT,WEDNESDAY,HIGH,NO,1173,1229,56
13179,NDLS,MAIL_EXPRESS,MONSOON_STORM,MORNING,THURSDAY,CRITICAL,CATTLE_ON_TRACK,1117,1240,123
25487,GWL,RAJDHANI,RAIN,MORNING,WEDNESDAY,LOW,NO,83,96,13
21407,BPL,SUPERFAST,MONSOON_STORM,EVENING,MONDAY,CRITICAL,NO,212,308,96
29878,MTJ,SUPERFAST,CLEAR,NIGHT,SATURDAY,LOW,NO,1227,1239,12
28127,HWH,RAJDHANI,FOG,MORNING,SATURDAY,MEDIUM,NO,947,970,23
18794,MMCT,RAJDHANI,MONSOON_STORM,MORNING,THURSDAY,HIGH,NO,670,745,75
20031,MMCT,SUPERFAST,FOG,EVENING,TUESDAY,HIGH,NO,366,433,67
20272,GWL,RAJDHANI,MONSOON_STORM,AFTERNOON,SATURDAY,HIGH,NO,1170,1257,87
23698,NDLS,FREIGHT,RAIN,MORNING,THURSDAY,MEDIUM,NO,220,250,30
16017,GWL,MAIL_EXPRESS,MONSOON_STORM,AFTERNOON,THURSDAY,CRITICAL,NO,1052,1156,104
16571,JHS,FREIGHT,RAIN,MORNING,TUESDAY,HIGH,NO,305,366,61
14592,MAS,MAIL_EXPRESS,MONSOON_STORM,EVENING,TUESDAY,CRITICAL,NO,565,658,93
20968,BPL,SUPERFAST,FOG,AFTERNOON,FRIDAY,HIGH,NO,630,675,45
10614,MMCT,MAIL_EXPRESS,CLEAR,AFTERNOON,FRIDAY,MEDIUM,NO,1109,1130,21
17484,MTJ,FREIGHT,RAIN,EVENING,THURSDAY,HIGH,NO,937,1016,79
11529,MTJ,MAIL_EXPRESS,CLEAR,MORNING,SATURDAY,LOW,NO,1088,1095,7
15239,HWH,RAJDHANI,FOG,MORNING,FRIDAY,HIGH,CATTLE_ON_TRACK,136,209,73
23427,MMCT,RAJDHANI,FOG,AFTERNOON,SATURDAY,MEDIUM,NO,1152,1183,31
25659,JHS,RAJDHANI,RAIN,MORNING,SATURDAY,HIGH,TRACK_MAINTENANCE,1079,1137,58
11696,MTJ,SUPERFAST,RAIN,AFTERNOON,WEDNESDAY,HIGH,SIGNAL_FAILURE,622,700,78
18081,MTJ,SUPERFAST,RAIN,EVENING,WEDNESDAY,HIGH,NO,870,919,49
14971,AGC,SUPERFAST,RAIN,AFTERNOON,THURSDAY,MEDIUM,NO,737,759,22
22793,HWH,RAJDHANI,MONSOON_STORM,EVENING,THURSDAY,HIGH,NO,152,207,55
22187,JHS,SUPERFAST,FOG,EVENING,SUNDAY,HIGH,NO,1317,1375,58
12079,JHS,MAIL_EXPRESS,CLEAR,EVENING,SUNDAY,MEDIUM,NO,164,195,31
26425,MMCT,FREIGHT,FOG,MORNING,FRIDAY,HIGH,NO,145,196,51
26442,HWH,FREIGHT,FOG,NIGHT,SUNDAY,HIGH,NO,1036,1082,46
12689,HWH,RAJDHANI,FOG,NIGHT,FRIDAY,MEDIUM,NO,498,522,24
11422,JHS,SUPERFAST,CLEAR,AFTERNOON,TUESDAY,LOW,NO,1138,1142,4
26445,HWH,MAIL_EXPRESS,RAIN,AFTERNOON,TUESDAY,HIGH,TRACK_MAINTENANCE,47,123,76
11321,JHS,SUPERFAST,CLEAR,AFTERNOON,MONDAY,LOW,NO,948,962,14
18529,MMCT,FREIGHT,RAIN,NIGHT,TUESDAY,HIGH,CATTLE_ON_TRACK,762,850,88
15769,MMCT,SUPERFAST,FOG,MORNING,THURSDAY,MEDIUM,NO,575,595,20
29881,MMCT,RAJDHANI,CLEAR,NIGHT,TUESDAY,HIGH,SIGNAL_FAILURE,1258,1320,62
20303,MAS,RAJDHANI,MONSOON_STORM,AFTERNOON,TUESDAY,HIGH,NO,918,1006,88
25655,BPL,RAJDHANI,RAIN,EVENING,MONDAY,MEDIUM,NO,456,480,24
27103,AGC,RAJDHANI,MONSOON_STORM,EVENING,SUNDAY,HIGH,NO,595,660,65
13755,JHS,MAIL_EXPRESS,FOG,EVENING,TUESDAY,HIGH,NO,154,241,87
16541,HWH,SUPERFAST,RAIN,AFTERNOON,TUESDAY,MEDIUM,NO,819,836,17
24258,JHS,SUPERFAST,MONSOON_STORM,NIGHT,THURSDAY,CRITICAL,NO,816,917,101
21809,BPL,MAIL_EXPRESS,FOG,MORNING,WEDNESDAY,HIGH,NO,1363,1431,68
20718,MAS,FREIGHT,RAIN,NIGHT,FRIDAY,HIGH,CATTLE_ON_TRACK,1376,1464,88
22389,MTJ,MAIL_EXPRESS,MONSOON_STORM,EVENING,FRIDAY,CRITICAL,NO,728,825,97
25955,AGC,MAIL_EXPRESS,CLEAR,AFTERNOON,SUNDAY,LOW,NO,504,518,14
28370,MTJ,MAIL_EXPRESS,RAIN,MORNING,SATURDAY,MEDIUM,NO,8,52,44
20365,GWL,SUPERFAST,CLEAR,NIGHT,THURSDAY,MEDIUM,NO,378,393,15
24690,AGC,MAIL_EXPRESS,CLEAR,EVENING,SUNDAY,MEDIUM,NO,237,262,25
21745,BPL,FREIGHT,MONSOON_STORM,AFTERNOON,TUESDAY,CRITICAL,SIGNAL_FAILURE,567,741,174
16023,NDLS,MAIL_EXPRESS,CLEAR,NIGHT,SATURDAY,LOW,NO,992,1003,11
27108,GWL,SUPERFAST,FOG,NIGHT,WEDNESDAY,MEDIUM,NO,363,394,31
19634,MTJ,RAJDHANI,FOG,MORNING,THURSDAY,MEDIUM,NO,910,929,19
15882,JHS,SUPERFAST,CLEAR,MORNING,MONDAY,LOW,NO,135,140,5
14511,AGC,FREIGHT,CLEAR,NIGHT,FRIDAY,MEDIUM,NO,244,279,35
18536,JHS,MAIL_EXPRESS,MONSOON_STORM,NIGHT,SUNDAY,HIGH,NO,1248,1334,86
26034,MAS,RAJDHANI,FOG,MORNING,SATURDAY,MEDIUM,NO,462,494,32
19715,MAS,RAJDHANI,RAIN,NIGHT,MONDAY,MEDIUM,NO,940,961,21
19607,NDLS,RAJDHANI,FOG,NIGHT,WEDNESDAY,MEDIUM,NO,647,684,37
11765,NDLS,FREIGHT,CLEAR,NIGHT,MONDAY,MEDIUM,NO,969,1006,37
11223,MTJ,FREIGHT,RAIN,NIGHT,MONDAY,MEDIUM,NO,446,481,35
17838,MAS,SUPERFAST,FOG,AFTERNOON,MONDAY,MEDIUM,NO,859,887,28
18531,JHS,MAIL_EXPRESS,RAIN,AFTERNOON,SUNDAY,MEDIUM,NO,237,267,30
20237,BPL,RAJDHANI,MONSOON_STORM,AFTERNOON,SUNDAY,HIGH,NO,920,965,45
28680,HWH,MAIL_EXPRESS,MONSOON_STORM,AFTERNOON,TUESDAY,CRITICAL,NO,810,905,95
19389,MTJ,FREIGHT,FOG,NIGHT,SUNDAY,CRITICAL,NO,455,557,102
10207,AGC,FREIGHT,RAIN,MORNING,SATURDAY,HIGH,NO,1175,1230,55
21238,AGC,MAIL_EXPRESS,MONSOON_STORM,NIGHT,SUNDAY,HIGH,NO,1164,1235,71
13559,MAS,SUPERFAST,MONSOON_STORM,NIGHT,SUNDAY,HIGH,NO,455,536,81
15548,HWH,RAJDHANI,RAIN,MORNING,SATURDAY,MEDIUM,NO,14,29,15
21072,MAS,FREIGHT,RAIN,MORNING,FRIDAY,MEDIUM,NO,587,627,40
26276,MTJ,MAIL_EXPRESS,MONSOON_STORM,AFTERNOON,THURSDAY,HIGH,NO,908,960,52
21394,MAS,MAIL_EXPRESS,RAIN,EVENING,SUNDAY,HIGH,NO,549,603,54
22088,MAS,MAIL_EXPRESS,MONSOON_STORM,AFTERNOON,SATURDAY,HIGH,NO,900,960,60
15004,NDLS,FREIGHT,CLEAR,EVENING,SATURDAY,HIGH,NO,807,862,55
21456,BPL,SUPERFAST,MONSOON_STORM,AFTERNOON,SATURDAY,HIGH,NO,40,107,67
27892,AGC,MAIL_EXPRESS,CLEAR,NIGHT,FRIDAY,LOW,NO,1095,1102,7
11707,HWH,RAJDHANI,RAIN,EVENING,THURSDAY,MEDIUM,NO,560,593,33
